
Testcase Name,Date,Manufacturer,Model,BIOS,Computer Name,OS,OS Version,Processors,Socket,CPU Speed,CPU Family,Chipset,RAM,GFX Card 1,GFX Card 2,GFX Driver 1,GFX Driver 2,NIC 1,NIC 2,NIC Driver 1,NIC Driver 2,buildID,Performance Test Type,Time (in ms.),Elapsed Time
DualRollingTrim_1080i59_94_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,DualRollingTrim,735.68,00:00:42
DualRollingTrim_1080p23_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,DualRollingTrim,862.69,00:00:48
DualRollingTrim_25p_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,DualRollingTrim,891.78,00:00:47
DualRollingTrim_UHDTV_23_976P_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,DualRollingTrim,786.03,00:01:00
JKScrub_1080i59_94_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,JKScrub,195.97,00:01:01
JKScrub_1080p23_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,JKScrub,208.39,00:00:54
JKScrub_25p_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,JKScrub,178.65,00:00:53
JKScrub_UHDTV_23_976P_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,JKScrub,238.66,00:01:05
StartOfPlay_1080i59_94_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,StartOfPlay,236.71,00:00:56
StartOfPlay_1080p23_Auto_Mac_DNxIO,2018-10-18,Apple, MacPro6.1,n/a,al-smk2-macpro13.global.avidww.com,Mac OS X,10.13.6, 8, 1, 3 GHz, 8-Core Intel Xeon E5,, 32 GB, AMD FirePro D500, AMD FirePro D500,,, Broadcom57762-A0, Broadcom57762-A0,,,18.11.0b50235,StartOfPlay,253.41,00:00:51
